cell_name,cell_idx,drug_name,IC50,test_pred
DiFi,0,(5Z)-7-Oxozeaenol,1.40571,1.555454612
DiFi,0,5-azacytidine,2.017363,3.175974607
DiFi,0,5-Fluorouracil,4.273194,3.67495966
DiFi,0,A-366,5.189086,4.879451275
DiFi,0,ABT737,1.131764,1.511471868
DiFi,0,Acetalax,-0.274714,0.539473176
DiFi,0,Afatinib,-4.740299,-3.69727397
DiFi,0,Afuresertib,1.651534,1.527940154
DiFi,0,AGI-5198,5.253903,4.873722553
DiFi,0,AGI-6780,4.183522,4.160122395
DiFi,0,AGK2,3.836627,3.351346016
DiFi,0,AICA Ribonucleotide,8.637386,8.021417618
DiFi,0,Alisertib,0.964072,2.298704863
DiFi,0,Alpelisib,2.032412,1.701200366
DiFi,0,alpha-lipoic acid,8.275,8.002374649
DiFi,0,AMG-319,5.218508,5.229803562
DiFi,0,AT13148,1.453733,3.596973658
DiFi,0,Avagacestat,5.790831,4.713048458
DiFi,0,Axitinib,3.341807,3.359703779
DiFi,0,AZ20,1.389927,1.391038299
DiFi,0,AZ6102,1.245051,2.459596634
DiFi,0,AZ960,5.533147,2.472068787
DiFi,0,AZD1208,4.643454,4.847113132
DiFi,0,AZD1332,4.903006,3.378587961
DiFi,0,AZD1480,2.518198,2.005264521
DiFi,0,AZD2014,1.0627,1.353287458
DiFi,0,AZD3514,5.237809,3.80866456
DiFi,0,AZD3759,-1.194858,-1.104332566
DiFi,0,AZD4547,5.896601,3.721874475
DiFi,0,AZD4877,-3.292197,-3.064536095
DiFi,0,AZD5153,0.95314,1.973351479
DiFi,0,AZD5363,2.303148,2.1975348
DiFi,0,AZD5438,1.574505,1.973535419
DiFi,0,AZD5582,3.464803,2.079078674
DiFi,0,AZD5991,4.595849,3.244800329
DiFi,0,AZD6094,3.82583,3.28239131
DiFi,0,AZD6482,4.098379,3.25986886
DiFi,0,AZD6738,1.38677,2.026183367
DiFi,0,AZD7762,-0.351653,0.266921371
DiFi,0,AZD8055,-1.369773,-0.396714687
DiFi,0,AZD8186,3.225822,2.716385126
DiFi,0,AZD8835,1.845908,1.965998292
DiFi,0,AZD8931,-3.786348,-2.820410967
DiFi,0,BEN,1.175076,3.339151621
DiFi,0,BI-2536,-1.682043,-1.735673785
