cell_name,drug_name,IC50,test_pred
NIH:OVCAR-3,17-AAG,-1.402700757,-0.235149026
NIH:OVCAR-3,AEW541,2.079441542,3.265873671
NIH:OVCAR-3,AZD0530,0.309709169,1.699290514
NIH:OVCAR-3,AZD6244,2.079441542,4.35594368
NIH:OVCAR-3,Erlotinib,2.079441542,2.591488123
NIH:OVCAR-3,Irinotecan,-1.058273935,2.143255949
NIH:OVCAR-3,L-685458,2.079441542,3.004013777
NIH:OVCAR-3,Lapatinib,1.632711906,3.089874268
NIH:OVCAR-3,LBW242,2.079441542,5.11555624
NIH:OVCAR-3,Nilotinib,2.079441542,2.974509001
NIH:OVCAR-3,Nutlin-3,2.079441542,3.935162306
NIH:OVCAR-3,Paclitaxel,-5.444235097,-3.71160388
NIH:OVCAR-3,Panobinostat,-3.026949315,-2.641550303
NIH:OVCAR-3,PD-0325901,2.079441542,1.778928518
NIH:OVCAR-3,PD-0332991,2.079441542,3.218608856
NIH:OVCAR-3,PF2341066,2.079441542,2.985805988
NIH:OVCAR-3,PHA-665752,2.079441542,3.049387693
NIH:OVCAR-3,PLX4720,2.079441542,4.29296875
NIH:OVCAR-3,RAF265,0.750208593,3.920418978
NIH:OVCAR-3,Sorafenib,0.707036052,2.498833895
NIH:OVCAR-3,TAE684,0.895991991,0.522825897
NIH:OVCAR-3,TKI258,2.079441542,4.004980564
NIH:OVCAR-3,Topotecan,0.268631736,-0.226050913
NIH:OVCAR-3,ZD-6474,0.281658531,3.051354647
HEL 92.1.7,17-AAG,0.480486164,-0.512324154
HEL 92.1.7,AEW541,2.079441542,1.835076928
HEL 92.1.7,AZD0530,2.079441542,1.690709114
HEL 92.1.7,AZD6244,2.079441542,3.563395023
HEL 92.1.7,Erlotinib,2.079441542,2.267194986
HEL 92.1.7,L-685458,2.079441542,1.282405376
HEL 92.1.7,Lapatinib,2.079441542,2.626767874
HEL 92.1.7,LBW242,2.079441542,3.684693575
HEL 92.1.7,Nilotinib,2.079441542,0.881231487
HEL 92.1.7,Nutlin-3,2.079441542,2.74217844
HEL 92.1.7,Paclitaxel,-2.812514036,-4.118893623
HEL 92.1.7,Panobinostat,-2.82704626,-4.419950008
HEL 92.1.7,PD-0325901,2.079441542,1.170754313
HEL 92.1.7,PD-0332991,2.079441542,1.449763894
HEL 92.1.7,PF2341066,2.079441542,0.920217454
HEL 92.1.7,PHA-665752,2.079441542,2.246754408
HEL 92.1.7,PLX4720,2.079441542,2.806829214
HEL 92.1.7,RAF265,1.828299237,2.649590015
HEL 92.1.7,Sorafenib,2.079441542,0.738080144
HEL 92.1.7,TAE684,2.079441542,0.476206422
HEL 92.1.7,TKI258,2.079441542,2.39960885
HEL 92.1.7,Topotecan,-0.792637833,-1.835182071
HEL 92.1.7,ZD-6474,2.079441542,2.566501379
LS513,17-AAG,-3.537360222,-0.39144814
LS513,AEW541,-0.617375146,2.882076025
LS513,AZD0530,2.079441542,3.465586901
LS513,AZD6244,-0.829060622,0.098883279
LS513,Erlotinib,2.079441542,3.655138254
LS513,Irinotecan,-1.518989527,2.879529238
LS513,L-685458,0.765371087,4.141658783
LS513,Lapatinib,1.057982126,3.626455545
LS513,LBW242,2.079441542,6.149580956
LS513,Nilotinib,2.079441542,3.341915131
LS513,Nutlin-3,2.079441542,4.863832474
LS513,Paclitaxel,-3.972590594,-1.839058995
LS513,Panobinostat,-2.922074293,-2.994053602
LS513,PD-0325901,-3.44595759,-2.871358156
LS513,PD-0332991,1.510294741,4.048104763
LS513,PF2341066,1.981440983,2.591136217
LS513,PHA-665752,2.079441542,3.888921976
LS513,PLX4720,2.079441542,4.307712078
LS513,RAF265,0.080030261,4.129394531
LS513,Sorafenib,2.079441542,2.755344152
LS513,TAE684,-1.855213107,2.182380438
LS513,TKI258,-0.050401233,4.655283451
LS513,Topotecan,-0.332330208,1.244659424
LS513,ZD-6474,2.079441542,4.115833759
C2BBe1,17-AAG,-0.252240662,0.565432608
C2BBe1,AEW541,1.130781615,3.504173756
C2BBe1,AZD0530,-0.014839479,2.150586605
C2BBe1,AZD6244,2.079441542,5.209631443
C2BBe1,Erlotinib,2.079441542,3.727483034
C2BBe1,L-685458,2.079441542,3.456732035
C2BBe1,Lapatinib,1.410827139,4.356483936
C2BBe1,LBW242,2.079441542,4.913025856
C2BBe1,Nilotinib,1.920009179,3.993920088
C2BBe1,Nutlin-3,2.079441542,4.335356236
C2BBe1,Paclitaxel,2.079441542,-1.300130367
C2BBe1,Panobinostat,-2.910645172,-1.852377534
C2BBe1,PD-0325901,2.079441542,2.717020035
C2BBe1,PD-0332991,2.079441542,4.762937069
C2BBe1,PF2341066,2.079441542,3.435744524
C2BBe1,PHA-665752,2.079441542,2.574015617
C2BBe1,PLX4720,2.079441542,4.776596546
C2BBe1,RAF265,2.079441542,3.539667368
C2BBe1,Sorafenib,2.079441542,2.757768393
C2BBe1,TAE684,0.446936001,0.618813217
C2BBe1,TKI258,2.079441542,3.633116722
C2BBe1,Topotecan,1.481076651,1.69077003
C2BBe1,ZD-6474,0.376901649,3.625458717
ONCO-DG-1,17-AAG,-1.550757702,0.069267757
ONCO-DG-1,AEW541,2.079441542,2.777720213
ONCO-DG-1,AZD0530,0.798813254,1.516536713
ONCO-DG-1,AZD6244,2.079441542,4.061999798
ONCO-DG-1,Erlotinib,2.075916038,3.116487741
ONCO-DG-1,Irinotecan,-0.562164839,2.194204092
ONCO-DG-1,L-685458,2.079441542,2.796092987
ONCO-DG-1,Lapatinib,2.079441542,3.106678247
ONCO-DG-1,LBW242,2.079441542,4.913047791
ONCO-DG-1,Nilotinib,2.079441542,2.866583109
ONCO-DG-1,Nutlin-3,2.079441542,3.302997351
ONCO-DG-1,Paclitaxel,-4.581870055,-3.52755928
ONCO-DG-1,Panobinostat,-2.275696143,-3.006901026
ONCO-DG-1,PD-0325901,2.079441542,1.784104824
ONCO-DG-1,PD-0332991,2.079441542,3.247932673
ONCO-DG-1,PF2341066,2.079441542,2.660134077
ONCO-DG-1,PHA-665752,2.079441542,2.616261721
ONCO-DG-1,PLX4720,2.079441542,3.835225105
ONCO-DG-1,RAF265,0.519919939,3.632610083
ONCO-DG-1,Sorafenib,2.079441542,2.476072311
ONCO-DG-1,TAE684,1.36209951,0.735791802
ONCO-DG-1,TKI258,2.079441542,3.502352476
ONCO-DG-1,Topotecan,-0.607451437,-0.035824887
ONCO-DG-1,ZD-6474,1.497928524,3.326497316
NCI-H1581,17-AAG,-0.501823701,0.370539606
NCI-H1581,AEW541,2.079441542,2.281429529
NCI-H1581,AZD0530,2.079441542,2.42732954
NCI-H1581,AZD6244,2.079441542,4.825750828
NCI-H1581,Erlotinib,2.079441542,3.377613068
NCI-H1581,L-685458,2.079441542,2.392198086
NCI-H1581,Lapatinib,2.079441542,3.472638607
NCI-H1581,LBW242,2.079441542,4.39702177
NCI-H1581,Nilotinib,2.079441542,2.491131783
NCI-H1581,Nutlin-3,2.079441542,3.522217035
NCI-H1581,Paclitaxel,-4.678050282,-4.516338825
NCI-H1581,Panobinostat,-3.079947469,-3.515780687
NCI-H1581,PD-0325901,2.079441542,2.220494509
NCI-H1581,PD-0332991,2.079441542,3.184007406
NCI-H1581,PF2341066,2.079441542,1.609879136
NCI-H1581,PHA-665752,2.079441542,2.74742651
NCI-H1581,PLX4720,2.079441542,3.629367113
NCI-H1581,RAF265,0.962293308,3.244749546
NCI-H1581,Sorafenib,2.079441542,2.02777195
NCI-H1581,TAE684,2.079441542,0.296783417
NCI-H1581,TKI258,0.201414671,3.310045004
NCI-H1581,Topotecan,-0.283763009,-0.374394
NCI-H1581,ZD-6474,2.079441542,3.286235571
