cell_name,drug_name,IC50,test_pred,
786-O,METHOTREXATE,-3.30763899,0.847008467,
786-O,6-THIOGUANINE,-0.22089635,2.916105509,
786-O,6-MERCAPTOPURINE,0.71482475,2.849644661,
786-O,Colchicine,-3.427562381,0.447346091,
786-O,Nitrogen mustard,0.43264362,3.525920868,
786-O,Allopurinol,5.301702177,3.302288771,
786-O,Actinomycin D,-6.92784166,-4.968919277,
786-O,malacid,1.531219087,3.08801055,
786-O,Chlorambucil,3.367280418,1.669668555,
786-O,badil,-2.394688497,3.015802622,
786-O,Masoprocol,2.832179664,2.971960306,
786-O,Hydroxychloroquine Sulfate,4.605170186,3.253508806,
786-O,aloin,4.605170186,-1.065561056,
786-O,cinchonidine,4.605170186,3.315669298,
786-O,Noscapine,3.914394658,2.077860117,
786-O,Thiotepa,3.594852237,4.3983078,
786-O,Melphalan,2.909480735,2.188440323,
786-O,Triethylenemelamine,1.079656566,2.804664373,
786-O,Dromostanolone Propionate,3.776239553,3.478732824,
786-O,Acrichine,0,3.406665087,
786-O,Fluorouracil,2.499665328,3.865608931,
786-O,Methylprednisolone,4.605170186,2.737943649,
786-O,uridin,2.302585093,2.338340521,
786-O,Nandrolone phenpropionate,3.177567428,2.725126982,
786-O,TESTOLACTONE,6.216979751,3.079832554,
786-O,Mithramycin,-2.722806872,-0.202383608,
786-O,Pipobroman,4.027988856,4.337386131,
786-O,Cyclophosphamide,5.526204223,4.785895824,
786-O,Mitomycin,-0.929890134,-1.422394753,
786-O,Floxuridine,-0.985612286,3.765547991,
786-O,Hydroxyurea,5.741112165,0.616767347,
786-O,Curcumin,1.208857174,2.695137262,
786-O,Uracil mustard,2.362181413,2.575045109,
786-O,Dexamethasone Decadron,4.605170186,2.718710661,
786-O,Chelerythrine,0.621697975,2.885206938,
786-O,Mitotane,2.958821844,2.670752048,
786-O,IDOXURIDINE,4.605170186,3.689766645,
786-O,DACARBAZINE,4.487847993,5.28887701,
786-O,Vinblastine,-7.104136674,-3.699492693,
786-O,Caffeic acid,4.605170186,3.710677862,
786-O,Acetalax,3.753213702,5.448293209,
786-O,3-Bromopyruvate (acid),2.832179664,3.967498779,
786-O,Ergosterol,3.764726627,3.230054855,
786-O,Cytarabine,-0.712331644,0.2891424,
786-O,Cordycepin,2.855205515,4.552798748,
786-O,Vincristine,-3.29598609,-3.78258872,
786-O,Megestrol acetate,4.386424602,3.024405718,
786-O,tfdu,-0.759853081,3.70740962,
786-O,Procarbazine,5.449451387,0.03037069,
786-O,Amuno,4.328859975,3.351770163,
786-O,Cyclobenzaprine Hydrochloride,2.786127963,2.842554808,
786-O,Lomustine,2.692585443,0.525493562,
786-O,Cortivazol,0.402952391,1.600332499,
786-O,Daunorubicin,-3.301805811,-1.44011116,
786-O,Daunorubicin,-4.029523913,-1.44011116,
786-O,STREPTOZOCIN,5.625982911,3.024711847,
786-O,Calusterone,3.753213702,2.715842009,
786-O,Estramustine,1.043838575,3.405472279,
786-O,Vinblastine,-4.605170186,-3.705670834,
786-O,Fluphenazine,4.605170186,1.159797907,
786-O,Arsenic trioxide,2.774615037,2.803888559,
786-O,ergenyl,7.253143043,3.841762304,
786-O,CAMPTOTHECIN,-3.845317105,-2.479955435,
786-O,Camptothecin,-5.105982444,-2.596177816,
786-O,AZACITIDINE,-0.019483412,2.179086208,
786-O,Cladribine,0.898008186,4.422281742,
786-O,Mithramycin,15.54244938,2.977822781,
786-O,Asparaginase,14.37115076,2.977822781,
786-O,Ifosfamide,6.049658568,4.765264034,
786-O,Benzimate,2.256533391,2.868867159,
786-O,Acetylcysteine,7.287681819,9.484926224,
786-O,rifa,4.605170186,2.082764149,
786-O,Acetalax,3.83380418,5.448293209,
786-O,Fludarabine,2.578895304,4.105612278,
786-O,Cisplatin,0.111905636,1.701768875,
786-O,Isotretinoin,3.909789488,3.510093212,
786-O,Teniposide,-1.254908876,0.133144021,
786-O,Doxorubicin,-2.800020195,-1.44011116,
786-O,Fludarabine,3.638084447,4.105612278,
786-O,Bleomycin,0.023515763,0.566993833,
786-O,Paclitaxel,-3.596177398,-3.789674282,
786-O,DECITABINE,2.239264003,2.379485846,
786-O,melbex,-0.414465317,0.956324875,
786-O,Mitomycin,3.373287161,-1.47537601,
786-O,Bendamustine,4.390262244,3.501674414,
786-O,Etoposide,1.499750424,0.100349911,
786-O,M-AMSA,-1.312473503,1.663283706,
786-O,Homoharringtonine,-0.109372792,-2.174726486,
786-O,Mithramycin,9.532702285,-0.202383608,
786-O,Ancitabine hydrochloride,-0.566435933,1.770156503,
786-O,Tegafur,7.230117192,3.749522686,
786-O,M-AMSA,-0.771366006,1.663283706,
786-O,M-AMSA,-1.266421801,1.663283706,
786-O,Ribavirin,4.605170186,4.867847919,
786-O,florid,2.394688497,2.823588371,
786-O,Dexrazoxane,5.589525313,3.678245544,
786-O,Pimozide,1.024650366,1.67574811,
786-O,Elesclomol,4.029523913,-2.598573446,
