Methods,Datasets,PCC,RMSE
DeepCCDS,GDSC,0.93,0.913
DeepCCDS,CCLE,0.77,1.974
DeepCCDS,NCI60,0.46,3.24
DeepTTA,GDSC,0.89,1.194
DeepTTA,CCLE,0.66,2.023
DeepTTA,NCI60,0.17,3.851
Precily,GDSC,0.88,1.285
Precily,CCLE,0.74,1.997
Precily,NCI60,0.45,3.24
Lasso,GDSC,0.86,1.397
Lasso,CCLE,0.67,2.141
Lasso,NCI60,0.37,3.432
Ridge,GDSC,0.87,1.292
Ridge,CCLE,0.65,2.002
Ridge,NCI60,0.34,3.587
Elastic,GDSC,0.87,1.336
Elastic,CCLE,0.67,2.134
Elastic,NCI60,0.34,3.557
SVM,GDSC,0.86,1.381
SVM,CCLE,0.62,2.226
SVM,NCI60,0.3,3.751
DeepCCDS265,GDSC,0.93,1.034
DeepCCDS265,CCLE,0.88,1.493
DeepCCDS265,NCI60,0.68,2.421
DeepDR,GDSC,0.83,1.561
DeepDR,CCLE,0.85,1.715
DeepDR,NCI60,0.67,2.656
BANDRP,GDSC,0.93,0.93
BANDRP,CCLE,0.63,2.033
BANDRP,NCI60,0.44,3.301
DeepCDR,GDSC,0.92,0.945
DeepCDR,CCLE,0.63,2.101
DeepCDR,NCI60,0.11,3.27
DrugCell,GDSC,0.84,1.422
DrugCell,CCLE,0.68,2.02
DrugCell,NCI60,0.05,3.536
