Methods,Datasets,PCC
DeepCCDS,GDSC,0.93
DeepCCDS,CCLE,0.77
DeepCCDS,NCI60,0.46
DeepTTA,GDSC,0.89
DeepTTA,CCLE,0.66
DeepTTA,NCI60,0.17
Precily,GDSC,0.88
Precily,CCLE,0.74
Precily,NCI60,0.45
Lasso,GDSC,0.86
Lasso,CCLE,0.67
Lasso,NCI60,0.37
Ridge,GDSC,0.87
Ridge,CCLE,0.65
Ridge,NCI60,0.34
Elastic,GDSC,0.87
Elastic,CCLE,0.67
Elastic,NCI60,0.34
SVM,GDSC,0.86
SVM,CCLE,0.62
SVM,NCI60,0.3
DeepCCDS265,GDSC,0.93
DeepCCDS265,CCLE,0.88
DeepCCDS265,NCI60,0.68
DeepDR,GDSC,0.83
DeepDR,CCLE,0.85
DeepDR,NCI60,0.67
BANDRP,GDSC,0.93
BANDRP,CCLE,0.63
BANDRP,NCI60,0.44
DeepCDR,GDSC,0.92
DeepCDR,CCLE,0.63
DeepCDR,NCI60,0.11
DrugCell,GDSC,0.84
DrugCell,CCLE,0.68
DrugCell,NCI60,0.05
