method,class,PCC_mean,PCC_standard
BANDRP,cell,0.91,0.03
BANDRP,drug,0.69,0.08
DeepCCDS,cell,0.93,0.02
DeepCCDS,drug,0.74,0.11
DeepCCDS265,cell,0.93,0.02
DeepCCDS265,drug,0.74,0.12
DeepCDR,cell,0.9,0.04
DeepCDR,drug,0.73,0.05
DeepDR,cell,0.85,0.09
DeepDR,drug,0.13,0.13
DeepTTA,cell,0.88,0.06
DeepTTA,drug,0.56,0.16
DrugCell,cell,0.8,0.1
DrugCell,drug,0.52,0.14
elastic,cell,0.86,0.07
elastic,drug,0.47,0.18
lasso,cell,0.85,0.07
lasso,drug,0.44,0.19
Precily,cell,0.88,0.06
Precily,drug,0.47,0.16
ridge,cell,0.87,0.07
ridge,drug,0.48,0.17
SVM,cell,0.86,0.08
SVM,drug,0.43,0.17
